track,h,search,queue,algo,domain,cov
ipc2011,cg1,lazy,LIFO,h,parking,4
ipc2011,cg1,lazy,LIFO,h,floortile,0
ipc2011,cg1,lazy,LIFO,h,scanalyzer,20
ipc2011,cg1,lazy,LIFO,h,sokoban,17
ipc2011,cg1,lazy,LIFO,h,openstacks,0
ipc2014,ff1,lazy,LIFO,h,barman,0
ipc2014,ff1,lazy,LIFO,h,citycar,0
ipc2014,ff1,lazy,LIFO,h,parking,8
ipc2014,ff1,lazy,LIFO,h,childsnack,0
ipc2014,ff1,lazy,LIFO,h,floortile,2
ipc2014,ff1,lazy,LIFO,h,tetris,3
ipc2014,ff1,lazy,LIFO,h,cavediving,7
ipc2014,ff1,lazy,LIFO,h,transport,0
ipc2014,ff1,lazy,LIFO,h,thoughtful,7
ipc2014,ff1,lazy,LIFO,h,maintenance,4
ipc2014,ff1,lazy,LIFO,h,openstacks,0
ipc2014,ff1,lazy,LIFO,h,hiking,13
ipc2014,ff1,lazy,LIFO,h,visitall,0
ipc2014,ff1,lazy,LIFO,h,ged,20
ipc2014,ff1,lazy,LIFO,h,barman,0
ipc2014,ff1,lazy,LIFO,h,citycar,0
ipc2014,ff1,lazy,LIFO,h,parking,7
ipc2014,ff1,lazy,LIFO,h,childsnack,0
ipc2014,ff1,lazy,LIFO,h,floortile,2
ipc2014,ff1,lazy,LIFO,h,tetris,3
ipc2014,ff1,lazy,LIFO,h,cavediving,7
ipc2014,ff1,lazy,LIFO,h,transport,0
ipc2014,ff1,lazy,LIFO,h,thoughtful,7
ipc2014,ff1,lazy,LIFO,h,maintenance,4
ipc2014,ff1,lazy,LIFO,h,openstacks,0
ipc2014,ff1,lazy,LIFO,h,hiking,13
ipc2014,ff1,lazy,LIFO,h,visitall,0
ipc2014,ff1,lazy,LIFO,h,ged,20
ipc2014,cg1,lazy,FIFO,hw,barman,0
ipc2014,cg1,lazy,FIFO,hw,citycar,3
ipc2014,cg1,lazy,FIFO,hw,parking,8
ipc2014,cg1,lazy,FIFO,hw,childsnack,0
ipc2014,cg1,lazy,FIFO,hw,floortile,0
ipc2014,cg1,lazy,FIFO,hw,tetris,20
ipc2014,cg1,lazy,FIFO,hw,cavediving,7
ipc2014,cg1,lazy,FIFO,hw,transport,4
ipc2014,cg1,lazy,FIFO,hw,thoughtful,5
